user_id,month,total_income,total_expense,loan_emi,credit_card_payment,savings
1,1,168132,66176.20241589985,12852,17903.26474826333,71200.53283583681
1,2,170189,53158.65269982499,5538,2676.679203936417,108815.66809623859
1,3,167178,149678.96643551232,6368,16193.402384665145,-5062.368820177469
1,4,168263,94087.118803067,19456,33085.40790557469,21634.473291358307
1,5,171141,92401.86393619231,8094,2921.5021780220663,67723.63388578562
1,6,171034,75197.288063494,18202,15685.823543487571,61948.88839301844
1,7,164872,69213.96948720785,19468,1767.559497618368,74422.47101517378
1,8,163395,53572.35911183042,11780,33219.514757621604,64823.12613054798
1,9,167260,145404.35697659553,8726,34322.77752300758,-21193.13449960311
1,10,170300,90471.85822952863,19026,2816.243892985243,57985.897877486124
1,11,168908,120015.85922526925,14972,19089.17475967821,14830.966015052541
1,12,171537,114243.29801163448,5550,35845.514046540295,15898.187941825221
2,1,96098,58815.89801948716,21675,7609.632317766119,7997.469662746719
2,2,104769,92380.14711975901,26619,1216.425885985316,-15446.57300574433
2,3,95238,51151.39090580449,8985,6124.225966205622,28977.383127989888
2,4,102706,42888.969520572435,9048,4602.007924911938,46167.02255451563
2,5,101516,81895.01890944674,29748,1736.5276805324459,-11863.546589979182
2,6,95955,76499.40461440403,17979,4053.4773006698706,-2576.8819150739037
2,7,101408,63442.634640546996,27624,7115.225811597105,3226.139547855899
2,8,97139,38774.019116184594,13704,551.6286377344646,44109.35224608094
2,9,97772,29655.545061245313,21774,4191.79449130101,42150.66044745368
2,10,101813,73998.21494111899,19542,2490.43837571166,5782.346683169351
2,11,100969,86407.30404156861,27483,7280.696179308666,-20202.00022087728
2,12,98176,80294.42516325737,23877,2563.515046914673,-8558.940210172044
3,1,75410,48017.02004590509,39624,35543.49458391713,-47774.51462982222
3,2,75366,54862.44398030895,23360,13433.508955560435,-16289.952935869384
3,3,74641,32960.79023698909,25972,19295.164992328442,-3586.9552293175293
3,4,74194,45528.3837259006,28536,17044.329932155513,-16914.713658056116
3,5,74977,42257.179740233914,39432,36262.88627575846,-42975.06601599237
3,6,68119,46446.684482926474,10252,33672.05473647999,-22251.739219406467
3,7,73275,61883.660026160695,38296,5380.115959064884,-32284.775985225577
3,8,74148,46261.282342701874,26544,25409.994372979756,-24067.27671568163
3,9,73924,25591.597712510218,14888,21078.32249218667,12366.079795303107
3,10,70413,58321.729169148806,18916,31779.456309871057,-38604.18547901986
3,11,69949,40145.18200242545,30956,3375.8877871702225,-4528.069789595671
3,12,76811,64178.30953980821,29800,13896.808878805106,-31064.118418613314
4,1,174824,138252.36806258035,0,2850.3131800546703,33721.31875736498
4,2,175574,70017.77205583132,0,1777.0235884816686,103779.20435568702
